0,1,2,3,4,5,6,7,8,9
9.900990099009903e-10,1.9999889988998903e-05,1.7777667766776678e-05,1.5555445544554456e-05,1.3333223322332234e-05,1.1111001100110013e-05,8.88877887788779e-06,6.666556655665567e-06,4.4443344334433445e-06,2.2221122112211224e-06
5.04950495049505e-08,1.9994389438943894e-05,1.7772167216721672e-05,1.554994499449945e-05,1.3327722772277229e-05,1.1105500550055006e-05,8.883278327832784e-06,6.661056105610562e-06,4.438833883388339e-06,2.2166116611661166e-06
1.0000000000000001e-07,1.9988888888888892e-05,1.7766666666666667e-05,1.5544444444444445e-05,1.3322222222222224e-05,1.1100000000000002e-05,8.877777777777779e-06,6.655555555555556e-06,4.433333333333334e-06,2.2111111111111113e-06
1.495049504950495e-07,1.9983388338833883e-05,1.7761166116611662e-05,1.553894389438944e-05,1.3316721672167218e-05,1.1094499449944995e-05,8.872277227722773e-06,6.650055005500551e-06,4.427832783278328e-06,2.2056105610561055e-06
1.9900990099009902e-07,1.997788778877888e-05,1.7755665566556656e-05,1.5533443344334435e-05,1.3311221122112213e-05,1.1088998899889988e-05,8.866776677667768e-06,6.644554455445546e-06,4.422332233223322e-06,2.2001100110011e-06
2.4851485148514856e-07,1.9972387238723873e-05,1.775016501650165e-05,1.552794279427943e-05,1.3305720572057206e-05,1.1083498349834984e-05,8.861276127612763e-06,6.63905390539054e-06,4.416831683168317e-06,2.194609460946095e-06
2.9801980198019805e-07,1.996688668866887e-05,1.7744664466446646e-05,1.5522442244224424e-05,1.33002200220022e-05,1.1077997799779977e-05,8.855775577557757e-06,6.633553355335533e-06,4.411331133113312e-06,2.189108910891089e-06
3.475247524752476e-07,1.9961386138613862e-05,1.773916391639164e-05,1.551694169416942e-05,1.3294719471947195e-05,1.1072497249724974e-05,8.85027502750275e-06,6.628052805280528e-06,4.405830583058306e-06,2.1836083608360838e-06
3.970297029702971e-07,1.9955885588558857e-05,1.7733663366336635e-05,1.5511441144114413e-05,1.328921892189219e-05,1.1066996699669967e-05,8.844774477447745e-06,6.6225522552255226e-06,4.400330033003301e-06,2.1781078107810784e-06
4.4653465346534657e-07,1.995038503850385e-05,1.772816281628163e-05,1.5505940594059408e-05,1.3283718371837185e-05,1.1061496149614963e-05,8.83927392739274e-06,6.617051705170517e-06,4.394829482948295e-06,2.1726072607260727e-06
4.960396039603961e-07,1.9944884488448846e-05,1.7722662266226624e-05,1.5500440044004403e-05,1.327821782178218e-05,1.1055995599559956e-05,8.833773377337734e-06,6.611551155115512e-06,4.389328932893289e-06,2.1671067106710673e-06
5.455445544554455e-07,1.993938393839384e-05,1.771716171617162e-05,1.5494939493949397e-05,1.3272717271727174e-05,1.1050495049504952e-05,8.828272827282729e-06,6.6060506050605065e-06,4.383828382838284e-06,2.161606160616062e-06
5.950495049504951e-07,1.9933883388338835e-05,1.7711661166116614e-05,1.5489438943894392e-05,1.3267216721672169e-05,1.1044994499449945e-05,8.822772277227724e-06,6.600550055005501e-06,4.378327832783279e-06,2.1561056105610562e-06
6.445544554455446e-07,1.992838283828383e-05,1.770616061606161e-05,1.5483938393839387e-05,1.3261716171617163e-05,1.103949394939494e-05,8.817271727172718e-06,6.595049504950496e-06,4.372827282728273e-06,2.150605060506051e-06
6.940594059405942e-07,1.9922882288228825e-05,1.7700660066006603e-05,1.5478437843784378e-05,1.3256215621562156e-05,1.1033993399339935e-05,8.811771177117713e-06,6.5895489548954905e-06,4.367326732673268e-06,2.1451045104510455e-06
7.435643564356436e-07,1.991738173817382e-05,1.7695159515951598e-05,1.5472937293729373e-05,1.3250715071507153e-05,1.102849284928493e-05,8.806270627062708e-06,6.584048404840485e-06,4.361826182618263e-06,2.1396039603960398e-06
7.930693069306931e-07,1.9911881188118814e-05,1.768965896589659e-05,1.5467436743674367e-05,1.3245214521452146e-05,1.1022992299229924e-05,8.800770077007702e-06,6.578547854785479e-06,4.3563256325632565e-06,2.1341034103410344e-06
8.425742574257427e-07,1.9906380638063805e-05,1.7684158415841587e-05,1.5461936193619362e-05,1.3239713971397142e-05,1.1017491749174919e-05,8.795269526952695e-06,6.573047304730474e-06,4.350825082508251e-06,2.1286028602860287e-06
8.920792079207921e-07,1.9900880088008803e-05,1.7678657865786578e-05,1.5456435643564357e-05,1.3234213421342135e-05,1.1011991199119913e-05,8.78976897689769e-06,6.5675467546754675e-06,4.345324532453246e-06,2.1231023102310233e-06
9.415841584158417e-07,1.9895379537953795e-05,1.7673157315731576e-05,1.545093509350935e-05,1.322871287128713e-05,1.1006490649064906e-05,8.784268426842685e-06,6.562046204620462e-06,4.3398239823982405e-06,2.1176017601760176e-06
9.910891089108912e-07,1.9889878987898793e-05,1.7667656765676568e-05,1.5445434543454346e-05,1.3223212321232124e-05,1.1000990099009903e-05,8.77876787678768e-06,6.556545654565457e-06,4.334323432343235e-06,2.1121012101210122e-06
1.0405940594059407e-06,1.9884378437843784e-05,1.7662156215621566e-05,1.543993399339934e-05,1.3217711771177119e-05,1.0995489548954896e-05,8.773267326732674e-06,6.5510451045104515e-06,4.32882288228823e-06,2.106600660066007e-06
1.0900990099009903e-06,1.9878877887788782e-05,1.7656655665566557e-05,1.5434433443344335e-05,1.3212211221122114e-05,1.098998899889989e-05,8.767766776677669e-06,6.545544554455446e-06,4.323322332233224e-06,2.101100110011001e-06
1.1396039603960398e-06,1.9873377337733773e-05,1.7651155115511555e-05,1.542893289328933e-05,1.3206710671067107e-05,1.0984488448844885e-05,8.762266226622663e-06,6.540044004400441e-06,4.317821782178218e-06,2.0955995599559958e-06
1.1891089108910891e-06,1.986787678767877e-05,1.7645654565456546e-05,1.5423432343234325e-05,1.3201210121012103e-05,1.097898789878988e-05,8.756765676567658e-06,6.5345434543454354e-06,4.312321232123213e-06,2.09009900990099e-06
1.2386138613861387e-06,1.9862376237623763e-05,1.764015401540154e-05,1.541793179317932e-05,1.3195709570957096e-05,1.0973487348734874e-05,8.751265126512653e-06,6.529042904290429e-06,4.306820682068208e-06,2.0845984598459847e-06
1.2881188118811882e-06,1.985687568756876e-05,1.7634653465346536e-05,1.5412431243124314e-05,1.3190209020902092e-05,1.0967986798679869e-05,8.745764576457646e-06,6.523542354235424e-06,4.301320132013201e-06,2.0790979097909793e-06
1.3376237623762378e-06,1.9851375137513752e-05,1.762915291529153e-05,1.540693069306931e-05,1.3184708470847085e-05,1.0962486248624864e-05,8.74026402640264e-06,6.5180418041804186e-06,4.295819581958196e-06,2.0735973597359736e-06
1.3871287128712873e-06,1.9845874587458747e-05,1.7623652365236525e-05,1.5401430143014303e-05,1.3179207920792082e-05,1.0956985698569858e-05,8.734763476347635e-06,6.512541254125413e-06,4.290319031903191e-06,2.0680968096809682e-06
1.4366336633663366e-06,1.984037403740374e-05,1.761815181518152e-05,1.5395929592959298e-05,1.3173707370737075e-05,1.0951485148514853e-05,8.72926292629263e-06,6.507040704070408e-06,4.284818481848185e-06,2.062596259625963e-06
1.4861386138613862e-06,1.9834873487348736e-05,1.7612651265126514e-05,1.5390429042904293e-05,1.3168206820682071e-05,1.0945984598459848e-05,8.723762376237624e-06,6.5015401540154026e-06,4.27931793179318e-06,2.057095709570957e-06
1.5356435643564357e-06,1.982937293729373e-05,1.760715071507151e-05,1.5384928492849287e-05,1.3162706270627064e-05,1.0940484048404842e-05,8.718261826182619e-06,6.496039603960397e-06,4.273817381738174e-06,2.051595159515952e-06
1.5851485148514853e-06,1.9823872387238725e-05,1.7601650165016504e-05,1.5379427942794282e-05,1.3157205720572059e-05,1.0934983498349835e-05,8.712761276127614e-06,6.490539053905391e-06,4.2683168316831685e-06,2.0460946094609465e-06
1.6346534653465348e-06,1.981837183718372e-05,1.7596149614961498e-05,1.5373927392739277e-05,1.3151705170517053e-05,1.092948294829483e-05,8.707260726072608e-06,6.485038503850386e-06,4.262816281628163e-06,2.0405940594059407e-06
1.6841584158415843e-06,1.9812871287128714e-05,1.7590649064906493e-05,1.536842684268427e-05,1.3146204620462046e-05,1.0923982398239824e-05,8.701760176017603e-06,6.4795379537953795e-06,4.257315731573158e-06,2.0350935093509353e-06
