0,1,2,3,4,5,6,7,8,9
2.4752475247524755e-09,4.999972497249725e-05,4.4444169416941694e-05,3.888861386138614e-05,3.333305830583058e-05,2.777750275027503e-05,2.222194719471947e-05,1.6666391639163915e-05,1.1110836083608361e-05,5.555280528052806e-06
1.2623762376237624e-07,4.998597359735974e-05,4.443041804180418e-05,3.887486248624863e-05,3.331930693069307e-05,2.7763751375137515e-05,2.220819581958196e-05,1.6652640264026404e-05,1.1097084708470848e-05,5.541529152915292e-06
2.5000000000000004e-07,4.997222222222223e-05,4.4416666666666664e-05,3.8861111111111115e-05,3.330555555555556e-05,2.7750000000000004e-05,2.2194444444444444e-05,1.663888888888889e-05,1.1083333333333335e-05,5.527777777777778e-06
3.737623762376238e-07,4.995847084708471e-05,4.440291529152916e-05,3.88473597359736e-05,3.329180418041805e-05,2.773624862486249e-05,2.2180693069306933e-05,1.6625137513751377e-05,1.106958195819582e-05,5.5140264026402645e-06
4.975247524752475e-07,4.99447194719472e-05,4.438916391639164e-05,3.8833608360836085e-05,3.327805280528053e-05,2.772249724972497e-05,2.2166941694169418e-05,1.6611386138613862e-05,1.1055830583058306e-05,5.50027502750275e-06
6.212871287128714e-07,4.9930968096809685e-05,4.437541254125413e-05,3.8819856985698574e-05,3.326430143014301e-05,2.7708745874587462e-05,2.2153190319031906e-05,1.659763476347635e-05,1.1042079207920793e-05,5.486523652365236e-06
7.45049504950495e-07,4.9917216721672174e-05,4.436166116611661e-05,3.8806105610561055e-05,3.32505500550055e-05,2.7694994499449943e-05,2.213943894389439e-05,1.6583883388338832e-05,1.102832783278328e-05,5.472772277227723e-06
8.68811881188119e-07,4.9903465346534655e-05,4.43479097909791e-05,3.8792354235423543e-05,3.323679867986799e-05,2.7681243124312435e-05,2.2125687568756876e-05,1.657013201320132e-05,1.1014576457645766e-05,5.459020902090209e-06
9.925742574257426e-07,4.988971397139714e-05,4.433415841584159e-05,3.877860286028603e-05,3.3223047304730476e-05,2.7667491749174917e-05,2.211193619361936e-05,1.6556380638063805e-05,1.1000825082508251e-05,5.445269526952695e-06
1.1163366336633664e-06,4.987596259625963e-05,4.432040704070407e-05,3.876485148514852e-05,3.320929592959296e-05,2.7653740374037405e-05,2.209818481848185e-05,1.6542629262926293e-05,1.0987073707370738e-05,5.431518151815182e-06
1.2400990099009903e-06,4.986221122112211e-05,4.430665566556656e-05,3.8751100110011e-05,3.3195544554455446e-05,2.763998899889989e-05,2.2084433443344334e-05,1.652887788778878e-05,1.0973322332233224e-05,5.417766776677668e-06
1.3638613861386139e-06,4.98484598459846e-05,4.4292904290429046e-05,3.873734873487349e-05,3.3181793179317934e-05,2.762623762376238e-05,2.2070682068206823e-05,1.6515126512651267e-05,1.0959570957095711e-05,5.404015401540154e-06
