0,1,2,3,4,5,6,7,8,9
4.950495049504951e-10,9.999944994499451e-06,8.888833883388339e-06,7.777722772277228e-06,6.666611661166117e-06,5.555500550055006e-06,4.444389438943895e-06,3.3332783278327835e-06,2.2221672167216722e-06,1.1110561056105612e-06
2.524752475247525e-08,9.997194719471947e-06,8.886083608360836e-06,7.774972497249725e-06,6.6638613861386146e-06,5.552750275027503e-06,4.441639163916392e-06,3.330528052805281e-06,2.2194169416941696e-06,1.1083058305830583e-06
5.0000000000000004e-08,9.994444444444446e-06,8.883333333333334e-06,7.772222222222223e-06,6.661111111111112e-06,5.550000000000001e-06,4.438888888888889e-06,3.327777777777778e-06,2.216666666666667e-06,1.1055555555555557e-06
7.475247524752475e-08,9.991694169416942e-06,8.880583058305831e-06,7.76947194719472e-06,6.658360836083609e-06,5.5472497249724976e-06,4.436138613861387e-06,3.3250275027502755e-06,2.213916391639164e-06,1.1028052805280528e-06
9.950495049504951e-08,9.98894389438944e-06,8.877832783278328e-06,7.766721672167217e-06,6.6556105610561066e-06,5.544499449944994e-06,4.433388338833884e-06,3.322277227722773e-06,2.211166116611661e-06,1.10005500550055e-06
1.2425742574257428e-07,9.986193619361936e-06,8.875082508250826e-06,7.763971397139715e-06,6.652860286028603e-06,5.541749174917492e-06,4.430638063806381e-06,3.31952695269527e-06,2.2084158415841585e-06,1.0973047304730474e-06
1.4900990099009903e-07,9.983443344334435e-06,8.872332233223323e-06,7.761221122112212e-06,6.6501100110011e-06,5.538998899889989e-06,4.427887788778879e-06,3.3167766776677666e-06,2.205665566556656e-06,1.0945544554455445e-06
1.737623762376238e-07,9.980693069306931e-06,8.86958195819582e-06,7.75847084708471e-06,6.647359735973598e-06,5.536248624862487e-06,4.425137513751375e-06,3.314026402640264e-06,2.202915291529153e-06,1.0918041804180419e-06
1.9851485148514854e-07,9.977942794279428e-06,8.866831683168318e-06,7.755720572057207e-06,6.644609460946095e-06,5.533498349834983e-06,4.4223872387238725e-06,3.3112761276127613e-06,2.2001650165016505e-06,1.0890539053905392e-06
2.2326732673267328e-07,9.975192519251926e-06,8.864081408140815e-06,7.752970297029704e-06,6.641859185918592e-06,5.5307480748074815e-06,4.41963696369637e-06,3.3085258525852586e-06,2.1974147414741474e-06,1.0863036303630363e-06
2.4801980198019805e-07,9.972442244224423e-06,8.861331133113312e-06,7.750220022002201e-06,6.63910891089109e-06,5.527997799779978e-06,4.416886688668867e-06,3.305775577557756e-06,2.1946644664466447e-06,1.0835533553355337e-06
2.7277227722772277e-07,9.96969196919692e-06,8.85858085808581e-06,7.747469746974699e-06,6.636358635863587e-06,5.525247524752476e-06,4.4141364136413645e-06,3.3030253025302533e-06,2.191914191419142e-06,1.080803080308031e-06
