0,1,2,3,4,5,6,7,8,9
7.4250074250074246e-09,4.9999174999175e-05,4.4443619443619447e-05,3.888806388806389e-05,3.3332508332508335e-05,2.777695277695278e-05,2.2221397221397223e-05,1.6665841665841667e-05,1.1110286110286112e-05,5.554730554730555e-06
3.7867537867537867e-07,4.995792495792496e-05,4.4402369402369404e-05,3.884681384681385e-05,3.329125829125829e-05,2.7735702735702733e-05,2.218014718014718e-05,1.6624591624591625e-05,1.1069036069036069e-05,5.513480513480514e-06
7.4992574992575e-07,4.9916674916674924e-05,4.436111936111936e-05,3.8805563805563805e-05,3.325000825000825e-05,2.7694452694452694e-05,2.213889713889714e-05,1.6583341583341582e-05,1.1027786027786028e-05,5.472230472230473e-06
1.1211761211761213e-06,4.9875424875424874e-05,4.4319869319869325e-05,3.876431376431376e-05,3.3208758208758214e-05,2.7653202653202654e-05,2.20976470976471e-05,1.6542091542091543e-05,1.0986535986535987e-05,5.430980430980431e-06
1.4924264924264926e-06,4.983417483417484e-05,4.427861927861928e-05,3.872306372306373e-05,3.316750816750817e-05,2.761195261195261e-05,2.2056397056397056e-05,1.6500841500841503e-05,1.0945285945285946e-05,5.38973038973039e-06
1.8636768636768637e-06,4.9792924792924796e-05,4.423736923736924e-05,3.8681813681813684e-05,3.312625812625813e-05,2.7570702570702572e-05,2.2015147015147016e-05,1.645959145959146e-05,1.0904035904035905e-05,5.348480348480349e-06
2.234927234927235e-06,4.975167475167475e-05,4.41961191961192e-05,3.864056364056364e-05,3.3085008085008085e-05,2.7529452529452533e-05,2.1973896973896977e-05,1.6418341418341418e-05,1.0862785862785864e-05,5.307230307230308e-06
2.6061776061776063e-06,4.971042471042471e-05,4.4154869154869154e-05,3.8599313599313605e-05,3.304375804375804e-05,2.748820248820249e-05,2.1932646932646934e-05,1.637709137709138e-05,1.0821535821535823e-05,5.265980265980266e-06
2.9774279774279776e-06,4.9669174669174674e-05,4.411361911361911e-05,3.855806355806356e-05,3.300250800250801e-05,2.744695244695245e-05,2.189139689139689e-05,1.6335841335841336e-05,1.078028578028578e-05,5.224730224730225e-06
3.348678348678349e-06,4.962792462792463e-05,4.4072369072369076e-05,3.851681351681352e-05,3.2961257961257964e-05,2.7405702405702405e-05,2.1850146850146852e-05,1.6294591294591297e-05,1.0739035739035739e-05,5.183480183480183e-06
3.7199287199287202e-06,4.958667458667459e-05,4.403111903111903e-05,3.847556347556348e-05,3.292000792000792e-05,2.7364452364452365e-05,2.180889680889681e-05,1.6253341253341254e-05,1.0697785697785698e-05,5.142230142230142e-06
4.091179091179091e-06,4.9545424545424546e-05,4.398986898986899e-05,3.8434313434313434e-05,3.2878757878757885e-05,2.7323202323202323e-05,2.1767646767646767e-05,1.621209121209121e-05,1.0656535656535657e-05,5.100980100980101e-06
4.462429462429463e-06,4.95041745041745e-05,4.3948618948618954e-05,3.839306339306339e-05,3.283750783750784e-05,2.7281952281952283e-05,2.1726396726396728e-05,1.6170841170841172e-05,1.0615285615285616e-05,5.05973005973006e-06
4.8336798336798346e-06,4.946292446292447e-05,4.390736890736891e-05,3.8351813351813356e-05,3.279625779625779e-05,2.7240702240702244e-05,2.1685146685146688e-05,1.6129591129591132e-05,1.0574035574035575e-05,5.018480018480018e-06
5.204930204930205e-06,4.9421674421674425e-05,4.386611886611887e-05,3.831056331056331e-05,3.275500775500776e-05,2.71994521994522e-05,2.1643896643896646e-05,1.608834108834109e-05,1.0532785532785532e-05,4.977229977229977e-06
5.576180576180576e-06,4.938042438042438e-05,4.3824868824868826e-05,3.826931326931327e-05,3.2713757713757714e-05,2.7158202158202162e-05,2.1602646602646603e-05,1.6047091047091047e-05,1.0491535491535493e-05,4.935979935979936e-06
